time,displacement,reaction_force,max_damage
2e-05,2e-05,0.923166,1.18378e-06
4e-05,4e-05,1.84633,4.73511e-06
6e-05,6e-05,2.76949,1.06541e-05
8e-05,8e-05,3.69265,1.89408e-05
0.0001,0.0001,4.61581,2.95952e-05
0.00012,0.00012,5.53896,4.26176e-05
0.00014,0.00014,6.4621,5.80081e-05
0.00016,0.00016,7.38523,7.57669e-05
0.00018,0.00018,8.30836,9.58942e-05
0.0002,0.0002,9.23147,0.00011839
0.00022,0.00022,10.1546,0.000143255
0.00024,0.00024,11.0777,0.00017049
0.00026,0.00026,12.0007,0.000200094
0.00028,0.00028,12.9238,0.000232068
0.0003,0.0003,13.8469,0.000266413
0.00032,0.00032,14.7699,0.000303129
0.00034,0.00034,15.6929,0.000342216
0.00036,0.00036,16.6159,0.000383675
0.00038,0.00038,17.5389,0.000427507
0.0004,0.0004,18.4618,0.000473711
0.00042,0.00042,19.3848,0.000522289
0.00044,0.00044,20.3077,0.000573242
0.00046,0.00046,21.2305,0.000626569
0.00048,0.00048,22.1534,0.000682272
0.0005,0.0005,23.0762,0.00074035
0.00052,0.00052,23.999,0.000800806
0.00054,0.00054,24.9218,0.00086364
0.00056,0.00056,25.8445,0.000928852
0.00058,0.00058,26.7673,0.000996444
0.0006,0.0006,27.6899,0.00106642
0.00062,0.00062,28.6126,0.00113877
0.00064,0.00064,29.5352,0.0012135
0.00066,0.00066,30.4578,0.00129062
0.00068,0.00068,31.3803,0.00137012
0.0007,0.0007,32.3028,0.00145201
0.00072,0.00072,33.2253,0.00153628
0.00074,0.00074,34.1477,0.00162294
0.00076,0.00076,35.0701,0.00171199
0.00078,0.00078,35.9924,0.00180343
0.0008,0.0008,36.9147,0.00189726
0.00082,0.00082,37.8369,0.00199348
0.00084,0.00084,38.7591,0.00209209
0.00086,0.00086,39.6813,0.0021931
0.00088,0.00088,40.6034,0.0022965
0.0009,0.0009,41.5254,0.00240231
0.00092,0.00092,42.4474,0.0025105
0.00094,0.00094,43.3694,0.0026211
0.00096,0.00096,44.2913,0.0027341
0.00098,0.00098,45.2131,0.0028495
0.001,0.001,46.1349,0.00296731
0.00102,0.00102,47.0567,0.00308752
0.00104,0.00104,47.9783,0.00321014
0.00106,0.00106,48.9,0.00333517
0.00108,0.00108,49.8215,0.00346261
0.0011,0.0011,50.743,0.00359246
0.00112,0.00112,51.6645,0.00372473
0.00114,0.00114,52.5858,0.00385941
0.00116,0.00116,53.5071,0.0039965
0.00118,0.00118,54.4284,0.00413602
0.0012,0.0012,55.3496,0.00427796
0.00122,0.00122,56.2707,0.00442232
0.00124,0.00124,57.1917,0.0045691
0.00126,0.00126,58.1127,0.00471832
0.00128,0.00128,59.0336,0.00486996
0.0013,0.0013,59.9544,0.00502403
0.00132,0.00132,60.8752,0.00518053
0.00134,0.00134,61.7959,0.00533947
0.00136,0.00136,62.7165,0.00550085
0.00138,0.00138,63.637,0.00566466
0.0014,0.0014,64.5574,0.00583092
0.00142,0.00142,65.4778,0.00599961
0.00144,0.00144,66.3981,0.00617076
0.00146,0.00146,67.3183,0.00634435
0.00148,0.00148,68.2385,0.0065204
0.0015,0.0015,69.1585,0.00669889
0.00152,0.00152,70.0785,0.00687984
0.00154,0.00154,70.9983,0.00706325
0.00156,0.00156,71.9181,0.00724912
0.00158,0.00158,72.8378,0.00743745
0.0016,0.0016,73.7575,0.00762825
0.00162,0.00162,74.677,0.00782151
0.00164,0.00164,75.5964,0.00801724
0.00166,0.00166,76.5157,0.00821545
0.00168,0.00168,77.435,0.00841613
0.0017,0.0017,78.3541,0.00861929
0.00172,0.00172,79.2732,0.00882493
0.00174,0.00174,80.1922,0.00903306
0.00176,0.00176,81.111,0.00924367
0.00178,0.00178,82.0298,0.00945677
0.0018,0.0018,82.9484,0.00967237
0.00182,0.00182,83.867,0.00989046
0.00184,0.00184,84.7855,0.010111
0.00186,0.00186,85.7038,0.0103341
0.00188,0.00188,86.6221,0.0105597
0.0019,0.0019,87.5402,0.0107878
0.00192,0.00192,88.4582,0.0110184
0.00194,0.00194,89.3762,0.0112516
0.00196,0.00196,90.294,0.0114872
0.00198,0.00198,91.2117,0.0117254
0.002,0.002,92.1293,0.0119661
0.00202,0.00202,93.0468,0.0122093
0.00204,0.00204,93.9641,0.012455
0.00206,0.00206,94.8814,0.0127033
0.00208,0.00208,95.7985,0.0129542
0.0021,0.0021,96.7155,0.0132075
0.00212,0.00212,97.6324,0.0134634
0.00214,0.00214,98.5492,0.0137219
0.00216,0.00216,99.4659,0.0139829
0.00218,0.00218,100.382,0.0142465
0.0022,0.0022,101.299,0.0145126
0.00222,0.00222,102.215,0.0147813
0.00224,0.00224,103.131,0.0150525
0.00226,0.00226,104.047,0.0153264
0.00228,0.00228,104.963,0.0156028
0.0023,0.0023,105.879,0.0158818
0.00232,0.00232,106.795,0.0161633
0.00234,0.00234,107.71,0.0164475
0.00236,0.00236,108.626,0.0167342
0.00238,0.00238,109.541,0.0170236
0.0024,0.0024,110.456,0.0173155
0.00242,0.00242,111.371,0.0176101
0.00244,0.00244,112.286,0.0179072
0.00246,0.00246,113.2,0.018207
0.00248,0.00248,114.115,0.0185094
0.0025,0.0025,115.029,0.0188144
0.00252,0.00252,115.944,0.0191221
0.00254,0.00254,116.858,0.0194323
0.00256,0.00256,117.772,0.0197452
0.00258,0.00258,118.686,0.0200608
0.0026,0.0026,119.599,0.020379
0.00262,0.00262,120.513,0.0206998
0.00264,0.00264,121.426,0.0210233
0.00266,0.00266,122.34,0.0213495
0.00268,0.00268,123.253,0.0216783
0.0027,0.0027,124.166,0.0220098
0.00272,0.00272,125.078,0.022344
0.00274,0.00274,125.991,0.0226809
0.00276,0.00276,126.904,0.0230204
0.00278,0.00278,127.816,0.0233626
0.0028,0.0028,128.728,0.0237076
0.00282,0.00282,129.64,0.0240552
0.00284,0.00284,130.552,0.0244056
0.00286,0.00286,131.464,0.0247586
0.00288,0.00288,132.375,0.0251144
0.0029,0.0029,133.286,0.0254729
0.00292,0.00292,134.198,0.0258341
0.00294,0.00294,135.109,0.0261981
0.00296,0.00296,136.02,0.0265648
0.00298,0.00298,136.93,0.0269342
0.003,0.003,137.841,0.0273064
0.00302,0.00302,138.751,0.0276814
0.00304,0.00304,139.661,0.0280591
0.00306,0.00306,140.571,0.0284396
0.00308,0.00308,141.481,0.0288229
0.0031,0.0031,142.391,0.029209
0.00312,0.00312,143.3,0.0295978
0.00314,0.00314,144.21,0.0299895
0.00316,0.00316,145.119,0.030384
0.00318,0.00318,146.028,0.0307812
0.0032,0.0032,146.936,0.0311813
0.00322,0.00322,147.845,0.0315842
0.00324,0.00324,148.753,0.03199
0.00326,0.00326,149.662,0.0323985
0.00328,0.00328,150.57,0.0328099
0.0033,0.0033,151.477,0.0332242
0.00332,0.00332,152.385,0.0336413
0.00334,0.00334,153.292,0.0340613
0.00336,0.00336,154.2,0.0344842
0.00338,0.00338,155.107,0.0349099
0.0034,0.0034,156.014,0.0353386
0.00342,0.00342,156.92,0.0357701
0.00344,0.00344,157.827,0.0362045
0.00346,0.00346,158.733,0.0366419
0.00348,0.00348,159.639,0.0370821
0.0035,0.0035,160.545,0.0375253
0.00352,0.00352,161.451,0.0379714
0.00354,0.00354,162.356,0.0384205
0.00356,0.00356,163.261,0.0388725
0.00358,0.00358,164.166,0.0393275
0.0036,0.0036,165.071,0.0397854
0.00362,0.00362,165.976,0.0402463
0.00364,0.00364,166.88,0.0407102
0.00366,0.00366,167.785,0.0411771
0.00368,0.00368,168.689,0.0416469
0.0037,0.0037,169.592,0.0421198
0.00372,0.00372,170.496,0.0425957
0.00374,0.00374,171.399,0.0430746
0.00376,0.00376,172.303,0.0435566
0.00378,0.00378,173.206,0.0440416
0.0038,0.0038,174.108,0.0445297
0.00382,0.00382,175.011,0.0450208
0.00384,0.00384,175.913,0.045515
0.00386,0.00386,176.815,0.0460122
0.00388,0.00388,177.717,0.0465126
0.0039,0.0039,178.619,0.0470161
0.00392,0.00392,179.52,0.0475226
0.00394,0.00394,180.421,0.0480323
0.00396,0.00396,181.322,0.0485451
0.00398,0.00398,182.223,0.0490611
0.004,0.004,183.123,0.0495802
