x,y,z,peakV_mps,log_argmax_hits,is_blowup
365100.000,3838920.000,-2487.950,8.93702e+64,31339,1
365047.000,3838930.000,-2502.010,7.59948e+64,5823,1
365045.000,3838930.000,-2573.630,5.90938e+64,17258,1
365040.000,3838930.000,-2700.790,2.96114e+64,772,1
535064.000,3755440.000,-111.552,7980.29,8799,1
535364.000,3755330.000,-100.007,3234.25,754,1
535056.000,3755380.000,-46.639,2041.05,2527,1
535287.000,3755380.000,-121.644,848.291,1359,1
535133.000,3755330.000,-25.002,64.7764,952,1
535373.000,3755260.000,-25.002,34.9369,30,0
532834.000,3756070.000,-45.120,33.5472,299,0
506372.000,3768220.000,-44.374,31.0662,2,0
533905.000,3755760.000,-52.727,30.8259,239,0
532102.000,3756250.000,-41.031,30.5541,117,0
531862.000,3756320.000,-31.621,29.9041,163,0
521317.000,3764520.000,-3012.670,29.8235,228,0
532270.000,3756200.000,-41.031,29.5094,99,0
505690.000,3768530.000,-50.176,28.8809,2,0
532273.000,3756320.000,-164.126,28.2527,83,0
521392.000,3765150.000,-3980.200,28.1231,127,0
506058.000,3768420.000,-94.550,28.0218,2,0
532018.000,3756310.000,-72.652,27.9885,76,0
506603.000,3768130.000,-36.888,27.9756,1,0
529256.000,3756600.000,-35.430,27.6424,141,0
528991.000,3756590.000,-39.972,27.6177,155,0
532411.000,3756210.000,-86.152,27.5727,133,0
528611.000,3756620.000,-75.972,27.4671,213,0
521247.000,3765000.000,-3765.440,27.0806,99,0
506146.000,3768320.000,-44.374,26.892,1,0
506337.000,3768410.000,-177.496,26.7486,2,0
529396.000,3756710.000,-141.722,26.3394,126,0
532516.000,3756150.000,-45.120,26.3135,105,0
528880.000,3756720.000,-159.889,26.285,41,0
533663.000,3755820.000,-52.727,26.2398,115,0
506805.000,3768210.000,-147.553,26.2212,1,0
528734.000,3756560.000,-39.972,26.1967,108,0
528219.000,3756660.000,-35.999,25.9174,157,0
520969.000,3765130.000,-3921.230,25.9093,68,0
505918.000,3768430.000,-50.176,25.7664,1,0
529541.000,3756610.000,-35.430,25.7206,189,0
535854.000,3755110.000,-29.578,25.6005,260,0
520799.000,3765050.000,-3759.660,25.5626,108,0
531936.000,3756450.000,-167.516,25.5449,20,0
531779.000,3756460.000,-126.484,25.4693,36,0
539201.000,3753900.000,-19.312,25.4361,178,0
521295.000,3765190.000,-4037.130,25.4002,25,0
528092.000,3756740.000,-64.092,25.0849,162,0
521521.000,3765200.000,-4040.390,24.994,109,0
531278.000,3756640.000,-119.156,24.9691,49,0
539899.000,3753630.000,-20.392,24.9667,205,0
521222.000,3764920.000,-3627.940,24.8846,28,0
531301.000,3756540.000,-44.485,24.8729,130,0
527643.000,3756820.000,-28.092,24.8712,105,0
506515.000,3768210.000,-81.262,24.8607,1,0
521087.000,3764870.000,-3574.310,24.7002,47,0
533549.000,3755900.000,-101.146,24.6868,134,0
536338.000,3754960.000,-31.873,24.6325,232,0
533405.000,3755890.000,-48.419,24.5527,189,0
529124.000,3756640.000,-75.403,24.4511,92,0
531458.000,3756510.000,-56.511,24.4475,123,0
531673.000,3756530.000,-151.374,24.2907,75,0
527685.000,3756960.000,-133.169,24.2843,104,0
527819.000,3756900.000,-112.369,24.1948,120,0
540830.000,3753260.000,-22.629,24.1277,186,0
534147.000,3755700.000,-57.440,24.0802,182,0
539433.000,3753810.000,-19.312,23.9781,168,0
531564.000,3756440.000,-31.621,23.9483,82,0
529671.000,3756650.000,-64.189,23.7747,103,0
521764.000,3765190.000,-4006.230,23.6764,90,0
534389.000,3755640.000,-57.440,23.6221,225,0
521715.000,3765390.000,-4338.470,23.5568,107,0
530105.000,3756630.000,-28.758,23.5463,158,0
528237.000,3756860.000,-172.090,23.4252,58,0
531201.000,3756540.000,-19.594,23.3674,85,0
527348.000,3756880.000,-20.800,23.2833,216,0
529264.000,3756750.000,-181.694,23.2368,21,0
528364.000,3756780.000,-143.997,23.2317,28,0
527509.000,3756890.000,-48.892,22.9939,115,0
533002.000,3756070.000,-93.540,22.9001,196,0
529775.000,3756740.000,-150.464,22.727,118,0
528477.000,3756590.000,-35.999,22.6683,24,0
521790.000,3765270.000,-4135.080,22.6555,17,0
527967.000,3756910.000,-148.368,22.6068,101,0
539428.000,3753860.000,-77.249,22.5894,87,0
533119.000,3755990.000,-48.419,22.5666,168,0
521547.000,3765280.000,-4169.250,22.5664,10,0
529816.000,3756610.000,-28.758,22.4488,95,0
538473.000,3754260.000,-59.282,22.2701,229,0
531435.000,3756600.000,-131.182,22.177,51,0
535531.000,3755240.000,-54.580,22.143,166,0
538988.000,3754040.000,-77.293,22.129,125,0
515666.000,3761040.000,-20.844,22.0553,157,0
522088.000,3765420.000,-4338.610,22.0091,122,0
540826.000,3753310.000,-90.516,21.9173,141,0
530298.000,3756730.000,-122.420,21.8894,186,0
539894.000,3753680.000,-81.568,21.7625,93,0
542680.000,3752480.000,-27.014,21.6735,236,0
521926.000,3765300.000,-4177.420,21.6438,83,0
515387.000,3761270.000,-21.173,21.621,164,0
539666.000,3753720.000,-20.392,21.5949,176,0
533306.000,3756070.000,-193.677,21.5799,47,0
536830.000,3754810.000,-39.305,21.4453,200,0
539127.000,3753950.000,-38.636,21.4277,51,0
541295.000,3753080.000,-23.758,21.421,196,0
536016.000,3755090.000,-61.451,21.3906,123,0
522113.000,3765490.000,-4461.220,21.3822,134,0
534035.000,3755780.000,-110.167,21.3624,109,0
527409.000,3757010.000,-111.292,21.359,9,0
537487.000,3754570.000,-44.788,21.279,179,0
535614.000,3755190.000,-29.578,21.0987,49,0
525165.000,3757180.000,-41.251,21.0364,224,0
