id,label,kind,group,x,y,z
0,epicenter,receiver,epicenter,604801.2000,3705030.0000,0.0000
1,fault_normal_SW_20km,receiver,fault_normal,590745.5748,3690801.8799,0.0000
2,fault_normal_SW_10km,receiver,fault_normal,597773.3874,3697915.9400,0.0000
3,fault_normal_SW_5km,receiver,fault_normal,601287.2937,3701472.9700,0.0000
4,fault_normal_SW_2km,receiver,fault_normal,603395.6375,3703607.1880,0.0000
5,fault_normal_NE_2km,receiver,fault_normal,606206.7625,3706452.8120,0.0000
6,fault_normal_NE_5km,receiver,fault_normal,608315.1063,3708587.0300,0.0000
7,fault_normal_NE_10km,receiver,fault_normal,611829.0126,3712144.0600,0.0000
8,fault_normal_NE_20km,receiver,fault_normal,618856.8252,3719258.1201,0.0000
9,along_strike_NW_10km,receiver,along_strike,595924.3549,3711699.7544,0.0000
10,along_strike_NW_20km,receiver,along_strike,588836.3979,3718720.1024,0.0000
11,along_strike_NW_40km,receiver,along_strike,574324.2424,3732355.1845,0.0000
12,hypocenter(z=5.1km),pickpoint,hypocenter,607030.1076,3707288.7944,-5054.2562
13,downdip_2km(z=2.0km),pickpoint,downdip,609603.0685,3702011.1287,-1997.6877
14,downdip_5km(z=5.0km),pickpoint,downdip,606416.7701,3707807.4683,-4999.2338
15,downdip_8km(z=8.0km),pickpoint,downdip,610098.2360,3706823.0677,-8001.2948
16,downdip_12km(z=10.0km),pickpoint,downdip,614118.5277,3704507.0322,-10012.3444
17,strike_NW_0km(z=7.0km),pickpoint,strike,608652.1569,3707403.4118,-6994.8709
18,strike_NW_10km(z=7.0km),pickpoint,strike,598161.1226,3717174.8798,-6996.8368
19,strike_NW_20km(z=7.0km),pickpoint,strike,591590.3682,3723261.4195,-7012.1792
20,strike_NW_40km(z=7.0km),pickpoint,strike,576136.0204,3737161.6404,-6999.2706
