# CSM model "Johnson-Hearn" contributed by author K. Johnson and E. Hearn.
# Reference: Johnson (2024), doi:10.1029/ 2023JB027472.
# Last revised on 22 Aug 2024, this *.csv version assembled by K. Luttrell on 08 Oct 2024.
#
# This is a stressing_rate model.
# Tension is taken as positive (physics convention).
# This model provides both meaningful orientation and meaningful magnitude.
# It is defined for depths from 1 km to 15 km.
# These model values do not vary with depth.
#
# Data Columns:
# 1) Longitude in degrees, WGS84 (California has negative LON)
# 2) Latitude in degrees, WGS84
# 3) Depth in km relative to mean sea level (positive: below sea-level; negative: above sea-level)
# 4) See stressing rate tensor component in MPa/yr
# 5) Sen stressing rate tensor component in MPa/yr
# 6) Seu stressing rate tensor component in MPa/yr
# 7) Snn stressing rate tensor component in MPa/yr
# 8) Snu stressing rate tensor component in MPa/yr
# 9) Suu stressing rate tensor component in MPa/yr
# 10) SHmax angle in degrees East of North (calculated from tensor using Lund and Townend [2007] eqn. 11)
# 11) SHmax angle uncertainty in degrees (if provided by the author, NaN otherwise)
# 12) phi shape parameter (S1-S2)/(S1-S3) for positive tension (calculated from tensor as in Angelier [1979])
# 13) R stress ratio (S2-S3)/(S1-S3) for positive tension (calculated from tensor as in Gephart and Forsyth [1984])
# 14) Aphi Anderson modified shape parameter (calculated from tensor as in Simpson [1997])
# 15) isotropic pressure rate (S1+S2+S3)/3 in MPa/yr (calculated from tensor)
# 16) differential stressing rate (S1-S3) in MPa/yr (calculated from tensor)
# 17) maximum shear stressing rate "Von Mises stressing rate" (S1-S3)/2 in MPa/yr (calculated from tensor)
# 18) S1 most tensional principal stress rate in MPa/yr (eigenvalues calculated from tensor)
# 19) S2 intermediate principal stress rate in MPa/yr
# 20) S3 most compressional principal stress rate in MPa/yr
# 21) V1x unit vector component of most tensional principal axis (eigenvectors calculated from tensor)
# 22) V1y unit vector component of most tensional principal axis (NOTE: principal axes are bi-directional)
# 23) V1z unit vector component of most tensional principal axis (unit vector given for above-horizontal end)
# 24) V2x unit vector component of intermediate principal axis
# 25) V2y unit vector component of intermediate principal axis
# 26) V2z unit vector component of intermediate principal axis
# 27) V3x unit vector component of most compressional principal axis
# 28) V3y unit vector component of most compressional principal axis
# 29) V3z unit vector component of most compressional principal axis
# 30) V1 plunge of most tensional principal axis in degrees below horizontal (calculated from eigenvectors)
# 31) V2 plunge of intermediate principal axis in degrees below horizontal
# 32) V3 plunge of most compressional principal axis in degrees below horizontal
# 33) V1 azimuth of most tensional principal axis in degrees East of North     (calculated from eigenvectors)
# 34) V2 azimuth of intermediate principal axis in degrees East of North       (NOTE: principal axes are bi-directional)
# 35) V3 azimuth of most compressional principal axis in degrees East of North (azimuth given for below-horizontal end)
# 
# LON,LAT,DEP,See,Sen,Seu,Snn,Snu,Suu,SHmax,SHmax_unc,phi,R,Aphi,iso,dif,mss,S1,S2,S3,V1x,V1y,V1z,V2x,V2y,V2z,V3x,V3y,V3z,V1pl,V2pl,V3pl,V1azi,V2azi,V3azi
"-119.149",32.6254,9,0.000656,3.3e-05,0,-0.001963,0,0,-0.726,,0.25,0.75,1.75,-0.000436,0.00262,0.00131,0.000656,0,-0.001963,-1,-0.013,-0,0,0,1,-0.013,1,0,-0,90,0,89.274,180,179.274
"-119.149",32.6434,9,0.000686,4.1e-05,0,-0.002035,0,0,-0.871,,0.252,0.748,1.748,-0.000449,0.002722,0.001361,0.000687,0,-0.002035,-1,-0.015,-0,0,0,1,-0.015,1,0,-0,90,0,89.129,180,179.129
"-119.149",32.6613,9,0.000717,5e-05,0,-0.002106,0,0,-1.024,,0.254,0.746,1.746,-0.000463,0.002824,0.001412,0.000717,0,-0.002107,-1,-0.018,-0,0,0,1,-0.018,1,0,-0,90,0,88.976,180,178.976
"-119.149",32.6793,9,0.000747,6.1e-05,0,-0.002178,0,0,-1.187,,0.256,0.744,1.744,-0.000477,0.002927,0.001464,0.000748,0,-0.002179,-1,-0.021,-0,0,0,1,-0.021,1,0,-0,90,0,88.813,180,178.813
"-119.149",32.6973,9,0.000777,7.2e-05,0,-0.00225,0,0,-1.354,,0.257,0.743,1.743,-0.000491,0.00303,0.001515,0.000778,0,-0.002251,-1,-0.024,-0,0,0,1,-0.024,1,0,-0,90,0,88.646,180,178.646
"-119.149",32.7153,9,0.000804,8e-05,0,-0.002317,0,0,-1.474,,0.258,0.742,1.742,-0.000504,0.003126,0.001563,0.000806,0,-0.002319,-1,-0.026,-0,0,0,1,-0.026,1,0,-0,90,0,88.526,180,178.526
"-119.149",32.7333,9,0.000823,7.5e-05,0,-0.002364,0,0,-1.344,,0.259,0.741,1.741,-0.000513,0.00319,0.001595,0.000825,0,-0.002365,-1,-0.023,-0,0,0,1,-0.023,1,0,-0,90,0,88.656,180,178.656
"-119.149",32.7513,9,0.000836,5.9e-05,0,-0.002391,0,0,-1.038,,0.259,0.741,1.741,-0.000518,0.00323,0.001615,0.000838,0,-0.002392,-1,-0.018,-0,0,0,1,-0.018,1,0,-0,90,0,88.962,180,178.962
"-119.149",32.7693,9,0.00085,4.4e-05,0,-0.002418,0,0,-0.763,,0.26,0.74,1.74,-0.000522,0.003269,0.001635,0.000851,0,-0.002418,-1,-0.013,-0,0,0,1,-0.013,1,0,-0,90,0,89.237,180,179.237
"-119.149",32.7873,9,0.000865,3.2e-05,0,-0.002447,0,0,-0.561,,0.261,0.739,1.739,-0.000527,0.003313,0.001656,0.000866,0,-0.002447,-1,-0.01,-0,0,0,1,-0.01,1,0,-0,90,0,89.439,180,179.439
"-119.149",32.8053,9,0.000881,2.4e-05,0,-0.002478,0,0,-0.415,,0.262,0.738,1.738,-0.000532,0.003359,0.00168,0.000881,0,-0.002478,-1,-0.007,-0,0,0,1,-0.007,1,0,-0,90,0,89.585,180,179.585
