# TPV6/7 station x2_12_x3_0 farside (along_strike=12000, down_dip=0)
# nearside = STRONG (larger Zp) side; farside = WEAK side.
# Columns: t h-disp h-vel h-stress v-disp v-vel v-stress n-disp n-vel n-stress
# h=strike, v=dip, n=normal; vel m/s, disp m, stress MPa, n-stress COMPRESSION-POSITIVE (drdg3d ref is negative — the viz flips it).  Velocity = imposed split-node Godunov velocity; disp = trapezoidal time-integral.
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
7.4617905920e-04 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
1.4923581184e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
2.2385371776e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
2.9847162368e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
3.7308952960e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
4.4770743552e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
5.2232534144e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
5.9694324736e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
6.7156115328e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
7.4617905920e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
8.2079696512e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
8.9541487104e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
9.7003277696e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
1.0446506829e-02 3.7239280272e-166 9.9813254776e-163 7.0000000000e+01 -1.0665377422e-166 -2.8586643624e-163 -1.3770563309e-162 -5.4741376468e-166 -1.4672450478e-162 1.2000000000e+02
1.1192685888e-02 3.7172241541e-161 9.9631573139e-158 7.0000000000e+01 -1.2164777820e-161 -3.2604947465e-158 -1.5705953219e-157 -6.0700636325e-161 -1.6269430440e-157 1.2000000000e+02
1.1938864947e-02 1.2014659636e-157 3.2183227644e-154 7.0000000000e+01 -3.9516901006e-158 -1.0585280082e-154 -5.0988130201e-154 -1.9823784864e-157 -5.3101583599e-154 1.2000000000e+02
1.2685044006e-02 9.1368993017e-155 2.4425444012e-151 7.0000000000e+01 -3.0755910296e-155 -8.2223966073e-152 -3.9604900770e-151 -1.5221041134e-154 -4.0691052683e-151 1.2000000000e+02
1.3431223066e-02 2.8490455230e-152 7.5874435536e-149 7.0000000000e+01 -1.0096069195e-152 -2.6896054667e-149 -1.2954550277e-148 -4.8244419218e-152 -1.2849568521e-148 1.2000000000e+02
1.4177402125e-02 4.7003502528e-150 1.2446213232e-146 7.0000000000e+01 -1.8177788618e-150 -4.8182755440e-147 -2.3206490951e-146 -8.1828582343e-150 -2.1674887068e-146 1.2000000000e+02
