# TPV6/7 station x2_12_x3_7.5 nearside (along_strike=12000, down_dip=7500)
# nearside = STRONG (larger Zp) side; farside = WEAK side.
# Columns: t h-disp h-vel h-stress v-disp v-vel v-stress n-disp n-vel n-stress
# h=strike, v=dip, n=normal; vel m/s, disp m, stress MPa, n-stress COMPRESSION-POSITIVE (drdg3d ref is negative — the viz flips it).  Velocity = imposed split-node Godunov velocity; disp = trapezoidal time-integral.
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
7.4617905920e-04 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
1.4923581184e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
2.2385371776e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
2.9847162368e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
3.7308952960e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
4.4770743552e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
5.2232534144e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
5.9694324736e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
6.7156115328e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
7.4617905920e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
8.2079696512e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
8.9541487104e-03 0.0000000000e+00 0.0000000000e+00 7.0000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.2000000000e+02
9.7003277696e-03 -1.8985036802e-145 -5.0886008037e-142 7.0000000000e+01 2.2912742251e-145 6.1413522581e-142 2.9583860003e-141 -3.4208060597e-145 -9.1688610596e-142 1.2000000000e+02
1.0446506829e-02 -1.1210933530e-141 -3.0038732350e-138 7.0000000000e+01 1.3428711599e-141 3.5980985758e-138 1.7332817922e-137 -2.1308073121e-141 -5.7094155207e-138 1.2000000000e+02
1.1192685888e-02 -1.0942829422e-138 -2.9270216624e-135 7.0000000000e+01 1.3013708408e-138 3.4808952107e-135 1.6768412289e-134 -2.1952256017e-138 -5.8724903740e-135 1.2000000000e+02
1.1938864947e-02 -3.9052354278e-136 -1.0408687135e-132 7.0000000000e+01 4.6154476668e-136 1.2301195125e-132 5.9258808167e-132 -8.3174209286e-136 -2.2175800631e-132 1.2000000000e+02
1.2685044006e-02 -7.0625215793e-134 -1.8721070813e-130 7.0000000000e+01 8.3050389369e-134 2.2013456122e-130 1.0604702662e-129 -1.6113004345e-133 -4.2743345178e-130 1.2000000000e+02
1.3431223066e-02 -7.7046464932e-132 -2.0274422953e-128 7.0000000000e+01 9.0276273590e-132 2.3754210093e-128 1.1443422714e-127 -1.9047165901e-131 -5.0193220195e-128 1.2000000000e+02
1.4177402125e-02 -5.6386118184e-130 -1.4704040636e-126 7.0000000000e+01 6.5948372425e-130 1.7196774472e-126 8.2845388381e-126 -1.5319378935e-129 -4.0048407799e-126 1.2000000000e+02
